Band1,Band2,Band3,Band4,Band5,Band6
74,56,43,102,56,28
74,56,44,113,58,29
75,57,44,119,62,29
74,57,42,127,67,32
74,56,42,122,63,31
72,54,42,117,56,28
73,53,42,117,50,24
76,57,43,112,55,27
77,64,48,112,66,34
79,66,47,120,70,33
77,65,46,115,72,34
78,64,47,119,71,33
78,66,45,112,69,31
80,64,51,95,69,37
83,67,53,78,76,52
84,69,59,78,83,57
79,64,53,91,91,58
83,65,58,86,92,62
80,62,53,91,91,59
79,61,50,97,89,49
79,61,49,97,89,51
76,61,52,97,88,52
77,61,48,99,89,48
79,60,48,104,87,49
78,59,45,116,87,43
76,58,43,124,76,35
75,56,43,127,64,29
74,56,41,125,60,30
76,57,41,117,57,29
72,55,42,112,56,27
74,56,42,117,56,27
75,54,42,121,59,27
75,56,42,122,61,31
74,57,41,126,63,29
75,59,42,129,65,34
74,57,41,128,64,29
75,57,41,121,62,29
78,60,47,106,67,34
78,64,52,103,73,40
79,66,48,115,70,37
79,65,45,126,72,34
77,66,48,126,73,33
78,66,48,125,71,34
78,66,47,127,71,35
78,65,47,131,70,33
77,66,47,128,69,31
79,67,48,126,70,34
77,67,47,127,71,33
78,67,52,121,76,38
86,74,71,99,116,77
88,76,78,85,113,82
81,67,61,87,89,56
87,75,80,90,106,67
92,85,104,92,124,76
97,87,108,91,124,78
85,74,76,93,98,61
82,68,51,109,72,38
79,66,49,114,72,34
79,67,48,114,74,37
78,67,49,113,72,36
81,69,55,92,81,46
79,64,52,102,80,45
73,57,44,105,62,31
74,55,46,100,61,30
75,58,45,100,61,32
74,55,46,100,61,32
75,57,46,103,64,34
74,57,46,102,63,33
75,59,47,101,66,33
75,58,46,102,69,36
78,63,53,98,81,47
79,63,55,108,86,45
77,63,54,114,91,46
79,64,55,110,83,43
77,65,55,105,80,42
76,59,50,109,63,33
75,59,48,109,63,32
74,59,47,110,63,33
75,59,48,110,64,31
74,58,46,111,64,31
75,57,46,113,65,32
74,58,49,111,63,31
75,59,48,112,63,31
